tblCommMethod.colAddressDefault;USED;""
tblCommMethod.coldValidFrom;USED;""
tblCommMethod.coldValidTo;USED;""
tblCommMethod.colMethodDefault;USED;""
tblCommMethod.colnCommId;USED;""
tblCommMethod.colsAddressId;USED;""
tblCommMethod.colsDescription;USED;""
tblCommMethod.colsIdentity;USED;""
tblCommMethod.colsMethodId;USED;""
tblCommMethod.colsName;USED;""
tblCommMethod.colsPartyType;USED;""
tblCommMethod.colsPartyTypeDb;USED;""
tblCommMethod.colsPrevAddrId;USED;""
tblCommMethod.colsValue;USED;""
